Relatório de idade
27 de julho de 2026 - 16 de setembro de 2026
Status do critério demográfico,Idade,Grupo de anúncios,Status,Impr.,Cliques,CTR,Código da moeda,CPC méd.,Custo,Conversões,Custo / conv.
Ativado,Desconhecida,Viabilidade Industrial,Qualificado,11,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,45 a 54,Viabilidade Industrial,Qualificado,4,1,"25,00%",BRL,"5,01","5,01","0,00","0,00"
Ativado,Desconhecida,EPCM / Implantação,Qualificado,6,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,45 a 54,EPCM / Implantação,Qualificado,3,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,55 a 64,Viabilidade Industrial,Qualificado,3,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,55 a 64,EPCM / Implantação,Qualificado,0,0, --,BRL,0,"0,00","0,00","0,00"
Ativado,25 a 34,Engenharia Industrial,Qualificado,112,4,"3,57%",BRL,"2,11","8,44","0,00","0,00"
Ativado,35 a 44,EPCM / Implantação,Qualificado,6,1,"16,67%",BRL,"7,09","7,09","1,00","7,09"
Ativado,55 a 64,Engenharia Industrial,Qualificado,34,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,35 a 44,Viabilidade Industrial,Qualificado,6,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado, +65,Projetos Industriais,Qualificado,3,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,45 a 54,Projetos Industriais,Qualificado,12,1,"8,33%",BRL,"7,90","7,90","0,00","0,00"
Ativado,18 a 24,Projetos Industriais,Qualificado,18,2,"11,11%",BRL,"3,65","7,29","0,00","0,00"
Ativado,25 a 34,EPCM / Implantação,Qualificado,4,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado, +65,Engenharia Industrial,Qualificado,14,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,25 a 34,Viabilidade Industrial,Qualificado,6,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,55 a 64,Projetos Industriais,Qualificado,1,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,18 a 24,EPCM / Implantação,Qualificado,0,0, --,BRL,0,"0,00","0,00","0,00"
Ativado,Desconhecida,Engenharia Industrial,Qualificado,145,7,"4,83%",BRL,"4,44","31,11","0,00","0,00"
Ativado,35 a 44,Projetos Industriais,Qualificado,4,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,18 a 24,Viabilidade Industrial,Qualificado,1,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado,25 a 34,Projetos Industriais,Qualificado,19,2,"10,53%",BRL,"7,60","15,20","0,00","0,00"
Ativado,Desconhecida,Projetos Industriais,Qualificado,22,0,"0,00%",BRL,0,"0,00","0,00","0,00"
Ativado, +65,Viabilidade Industrial,Qualificado,0,0, --,BRL,0,"0,00","0,00","0,00"
Ativado,45 a 54,Engenharia Industrial,Qualificado,101,7,"6,93%",BRL,"3,55","24,87","0,00","0,00"
Ativado,35 a 44,Engenharia Industrial,Qualificado,124,12,"9,68%",BRL,"2,36","28,30","0,00","0,00"
Ativado,18 a 24,Engenharia Industrial,Qualificado,69,7,"10,14%",BRL,"2,76","19,35","0,00","0,00"
Ativado, +65,EPCM / Implantação,Qualificado,0,0, --,BRL,0,"0,00","0,00","0,00"
Total: Faixa etária,,,,728,44,"6,04%",BRL,"3,51","154,56","1,00","154,56"
Total: Campanha,,,,728,44,"6,04%",BRL,"3,51","154,56","1,00","154,56"
