Relatório de palavras-chave da rede de pesquisa
27 de julho de 2026 - 16 de setembro de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Grupo de anúncios,Status,Motivos do status,Impr.,Cliques,CTR,Código da moeda,CPC méd.,Custo,Conversões,Custo / conv.,Índice de qualidade,Relevância do anúncio
Ativado,"""serviço EPCM""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""implantação de fábrica industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""gerenciamento de construção de fábrica""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""coordenação de implantação industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa de gerenciamento de construção industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""implantação de unidade industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa de fiscalização de obras industriais""",Correspondência de frase,EPCM / Implantação,Qualificado,,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa EPCM""",Correspondência de frase,EPCM / Implantação,Qualificado,,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa epcm""",Correspondência de frase,EPCM / Implantação,Qualificado,,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa de gerenciamento de obra industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""gestão de implantação industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""gerenciamento de projetos industriais""",Correspondência de frase,EPCM / Implantação,Qualificado,,3,0,"0,00%",BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""fiscalização de obras industriais""",Correspondência de frase,EPCM / Implantação,Qualificado,,2,0,"0,00%",BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""implantação de empreendimento industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,[EPCM],Correspondência exata,EPCM / Implantação,Qualificado,,6,0,"0,00%",BRL,0,"0,00","0,00","0,00",3,Acima da média
Ativado,"""serviços EPCM""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""serviços de gerenciamento de obras industriais""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,[empresa de engenharia epcm],Correspondência exata,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa de gerenciamento de obras industriais""",Correspondência de frase,EPCM / Implantação,Qualificado,,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""serviços de gerenciamento de projetos industriais""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""consultoria em gerenciamento de projetos industriais""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""gerenciamento de obras industriais""",Correspondência de frase,EPCM / Implantação,Qualificado,,1,0,"0,00%",BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""EPCM industrial""",Correspondência de frase,EPCM / Implantação,Qualificado,,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa de gestão de projetos industriais""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa de implantação de planta industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa EPCM industrial""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa de EPCM""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""implantação industrial""",Correspondência de frase,EPCM / Implantação,Qualificado,,2,0,"0,00%",BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""gestão de projetos industriais""",Correspondência de frase,EPCM / Implantação,Qualificado,,2,1,"50,00%",BRL,"7,09","7,09","1,00","7,09", --, --
Ativado,"""gestão de obras industriais""",Correspondência de frase,EPCM / Implantação,Qualificado,,1,0,"0,00%",BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""empresa de gerenciamento de empreendimentos industriais""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,[empresa epcm],Correspondência exata,EPCM / Implantação,Qualificado,,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""gerenciamento de obra de fábrica""",Correspondência de frase,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,[serviços epcm],Correspondência exata,EPCM / Implantação,Não qualificado,raramente exibido,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""gerenciamento de obra industrial""",Correspondência de frase,EPCM / Implantação,Qualificado,,0,0, --,BRL,0,"0,00","0,00","0,00", --, --
Ativado,"""engenharia EPCM""",Correspondência de frase,EPCM / Implantação,Qualificado,,2,0,"0,00%",BRL,0,"0,00","0,00","0,00",3,Acima da média
