Relatório de renda familiar
27 de julho de 2026 - 16 de setembro de 2026
Status do critério demográfico,Renda familiar,Grupo de anúncios,Status,Impr.,Cliques,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
Ativado,11 - 20%,Engenharia Industrial,Qualificado,75,6,"8,00%",BRL,"2,51","15,08","0,00%","0,00","0,00"
Ativado,21 - 30%,EPCM / Implantação,Qualificado,2,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,21 - 30%,Engenharia Industrial,Qualificado,51,3,"5,88%",BRL,"3,91","11,72","0,00%","0,00","0,00"
Ativado,21 - 30%,Viabilidade Industrial,Qualificado,1,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,10% com maior renda,EPCM / Implantação,Qualificado,8,1,"12,50%",BRL,"7,09","7,09","100,00%","1,00","7,09"
Ativado,50% com menor renda,Projetos Industriais,Qualificado,13,2,"15,38%",BRL,"4,70","9,39","0,00%","0,00","0,00"
Ativado,50% com menor renda,EPCM / Implantação,Qualificado,2,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,31 - 40%,Viabilidade Industrial,Qualificado,4,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,10% com maior renda,Engenharia Industrial,Qualificado,106,11,"10,38%",BRL,"1,99","21,86","0,00%","0,00","0,00"
Ativado,10% com maior renda,Projetos Industriais,Qualificado,15,1,"6,67%",BRL,"7,90","7,90","0,00%","0,00","0,00"
Ativado,31 - 40%,Engenharia Industrial,Qualificado,32,3,"9,38%",BRL,"3,99","11,98","0,00%","0,00","0,00"
Ativado,41 - 50%,Projetos Industriais,Qualificado,6,1,"16,67%",BRL,"5,30","5,30","0,00%","0,00","0,00"
Ativado,41 - 50%,Viabilidade Industrial,Qualificado,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,41 - 50%,Engenharia Industrial,Qualificado,48,2,"4,17%",BRL,"4,08","8,16","0,00%","0,00","0,00"
Ativado,41 - 50%,EPCM / Implantação,Qualificado,1,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,50% com menor renda,Viabilidade Industrial,Qualificado,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,31 - 40%,Projetos Industriais,Qualificado,3,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,31 - 40%,EPCM / Implantação,Qualificado,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,Desconhecida,Engenharia Industrial,Qualificado,163,7,"4,29%",BRL,"4,44","31,11","0,00%","0,00","0,00"
Ativado,50% com menor renda,Engenharia Industrial,Qualificado,124,5,"4,03%",BRL,"2,43","12,16","0,00%","0,00","0,00"
Ativado,11 - 20%,EPCM / Implantação,Qualificado,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,10% com maior renda,Viabilidade Industrial,Qualificado,10,1,"10,00%",BRL,"5,01","5,01","0,00%","0,00","0,00"
Ativado,Desconhecida,Projetos Industriais,Qualificado,22,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,Desconhecida,EPCM / Implantação,Qualificado,6,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,Desconhecida,Viabilidade Industrial,Qualificado,11,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,11 - 20%,Viabilidade Industrial,Qualificado,5,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,21 - 30%,Projetos Industriais,Qualificado,7,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,11 - 20%,Projetos Industriais,Qualificado,13,1,"7,69%",BRL,"7,80","7,80","0,00%","0,00","0,00"
Total: Renda familiar,,,,728,44,"6,04%",BRL,"3,51","154,56","2,27%","1,00","154,56"
Total: Campanha,,,,728,44,"6,04%",BRL,"3,51","154,56","2,27%","1,00","154,56"
