Relatório por gênero
27 de julho de 2026 - 16 de setembro de 2026
Status do critério demográfico,Sexo,Grupo de anúncios,Status,Impr.,Cliques,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.
Ativado,Desconhecida,Viabilidade Industrial,Qualificado,11,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,Masculino,Engenharia Industrial,Qualificado,322,24,"7,45%",BRL,"2,68","64,40","0,00%","0,00","0,00"
Ativado,Masculino,Projetos Industriais,Qualificado,39,2,"5,13%",BRL,"6,60","13,20","0,00%","0,00","0,00"
Ativado,Desconhecida,Projetos Industriais,Qualificado,22,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,Feminino,Viabilidade Industrial,Qualificado,6,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,Desconhecida,Engenharia Industrial,Qualificado,143,7,"4,90%",BRL,"4,44","31,11","0,00%","0,00","0,00"
Ativado,Desconhecida,EPCM / Implantação,Qualificado,6,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,Feminino,Projetos Industriais,Qualificado,18,3,"16,67%",BRL,"5,73","17,19","0,00%","0,00","0,00"
Ativado,Feminino,Engenharia Industrial,Qualificado,134,6,"4,48%",BRL,"2,76","16,56","0,00%","0,00","0,00"
Ativado,Feminino,EPCM / Implantação,Qualificado,6,1,"16,67%",BRL,"7,09","7,09","100,00%","1,00","7,09"
Ativado,Masculino,EPCM / Implantação,Qualificado,7,0,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00"
Ativado,Masculino,Viabilidade Industrial,Qualificado,14,1,"7,14%",BRL,"5,01","5,01","0,00%","0,00","0,00"
Total: Gêneros,,,,728,44,"6,04%",BRL,"3,51","154,56","2,27%","1,00","154,56"
Total: Campanha,,,,728,44,"6,04%",BRL,"3,51","154,56","2,27%","1,00","154,56"
